mpg,cyl,disp,hp,drat
21,6,160,110,3.9
21,6,160,110,3.9
22.8,4,108,93,3.85
21.4,6,258,110,3.08
18.7,8,360,175,3.15
18.1,6,225,105,2.76
14.3,8,360,245,3.21
24.4,4,146.7,62,3.69
22.8,4,140.8,95,3.92
19.2,6,167.6,123,3.92
17.8,6,167.6,123,3.92
16.4,8,275.8,180,3.07
17.3,8,275.8,180,3.07
15.2,8,275.8,180,3.07
10.4,8,472,205,2.93
10.4,8,460,215,3
14.7,8,440,230,3.23
32.4,4,78.7,66,4.08
30.4,4,75.7,52,4.93
33.9,4,71.1,65,4.22
21.5,4,120.1,97,3.7
15.5,8,318,150,2.76
15.2,8,304,150,3.15
13.3,8,350,245,3.73
19.2,8,400,175,3.08
27.3,4,79,66,4.08
26,4,120.3,91,4.43
30.4,4,95.1,113,3.77
15.8,8,351,264,4.22
19.7,6,145,175,3.62
15,8,301,335,3.54
21.4,4,121,109,4.11
