model,wt,qsec,vs,am,gear,carb
Mazda RX4,2.62,16.46,0,1,4,4
Mazda RX4 Wag,2.875,17.02,0,1,4,4
Datsun 710,2.32,18.61,1,1,4,1
Hornet 4 Drive,3.215,19.44,1,0,3,1
Hornet Sportabout,3.44,17.02,0,0,3,2
Valiant,3.46,20.22,1,0,3,1
Duster 360,3.57,15.84,0,0,3,4
Merc 240D,3.19,20,1,0,4,2
Merc 230,3.15,22.9,1,0,4,2
Merc 280,3.44,18.3,1,0,4,4
Merc 280C,3.44,18.9,1,0,4,4
Merc 450SE,4.07,17.4,0,0,3,3
Merc 450SL,3.73,17.6,0,0,3,3
Merc 450SLC,3.78,18,0,0,3,3
Cadillac Fleetwood,5.25,17.98,0,0,3,4
Lincoln Continental,5.424,17.82,0,0,3,4
Chrysler Imperial,5.345,17.42,0,0,3,4
Fiat 128,2.2,19.47,1,1,4,1
Honda Civic,1.615,18.52,1,1,4,2
Toyota Corolla,1.835,19.9,1,1,4,1
Toyota Corona,2.465,20.01,1,0,3,1
Dodge Challenger,3.52,16.87,0,0,3,2
AMC Javelin,3.435,17.3,0,0,3,2
Camaro Z28,3.84,15.41,0,0,3,4
Pontiac Firebird,3.845,17.05,0,0,3,2
Fiat X1-9,1.935,18.9,1,1,4,1
Porsche 914-2,2.14,16.7,0,1,5,2
Lotus Europa,1.513,16.9,1,1,5,2
Ford Pantera L,3.17,14.5,0,1,5,4
Ferrari Dino,2.77,15.5,0,1,5,6
Maserati Bora,3.57,14.6,0,1,5,8
Volvo 142E,2.78,18.6,1,1,4,2
