Sample ID,Well,Reference
ASU-Ctrl_A01,A01,PaCD00006418.fasta
ASU-Ctrl_B01,B01,PaCD00007490.fasta
ASU-Ctrl_C01,C01,BaCD00066094.fasta
ASU-Ctrl_D01,D01,BaCD00068446.fasta
ASU-Ctrl_E01,E01,ScCD00013267.fasta
ASU-Ctrl_F01,F01,VcCD00025727.fasta
ASU-Ctrl_G01,G01,YpCD00013545.fasta
ASU-Ctrl_H01,H01,YpCD00015686.fasta
ASU-Ctrl_A02,A02,PaCD00006418.fasta
ASU-Ctrl_B02,B02,PaCD00007490.fasta
ASU-Ctrl_C02,C02,BaCD00066094.fasta
ASU-Ctrl_D02,D02,BaCD00068446.fasta
ASU-Ctrl_E02,E02,ScCD00013267.fasta
ASU-Ctrl_F02,F02,VcCD00025727.fasta
ASU-Ctrl_G02,G02,YpCD00013545.fasta
ASU-Ctrl_H02,H02,YpCD00015686.fasta
ASU-Ctrl_A03,A03,PaCD00006418.fasta
ASU-Ctrl_B03,B03,PaCD00007490.fasta
ASU-Ctrl_C03,C03,BaCD00066094.fasta
ASU-Ctrl_D03,D03,BaCD00068446.fasta
ASU-Ctrl_E03,E03,ScCD00013267.fasta
ASU-Ctrl_F03,F03,VcCD00025727.fasta
ASU-Ctrl_G03,G03,YpCD00013545.fasta
ASU-Ctrl_H03,H03,YpCD00015686.fasta
ASU-Ctrl_A04,A04,PaCD00006587.fasta
ASU-Ctrl_B04,B04,PaCD00008201.fasta
ASU-Ctrl_C04,C04,BaCD00067367.fasta
ASU-Ctrl_D04,D04,ScCD00008904.fasta
ASU-Ctrl_E04,E04,ScCD00013271.fasta
ASU-Ctrl_F04,F04,VcCD00060986.fasta
ASU-Ctrl_G04,G04,YpCD00013559.fasta
ASU-Ctrl_H04,H04,YpCD00016351.fasta
ASU-Ctrl_A05,A05,PaCD00006587.fasta
ASU-Ctrl_B05,B05,PaCD00008201.fasta
ASU-Ctrl_C05,C05,BaCD00067367.fasta
ASU-Ctrl_D05,D05,ScCD00008904.fasta
ASU-Ctrl_E05,E05,ScCD00013271.fasta
ASU-Ctrl_F05,F05,VcCD00060986.fasta
ASU-Ctrl_G05,G05,YpCD00013559.fasta
ASU-Ctrl_H05,H05,YpCD00016351.fasta
ASU-Ctrl_A06,A06,PaCD00006587.fasta
ASU-Ctrl_B06,B06,PaCD00008201.fasta
ASU-Ctrl_C06,C06,BaCD00067367.fasta
ASU-Ctrl_D06,D06,ScCD00008904.fasta
ASU-Ctrl_E06,E06,ScCD00013271.fasta
ASU-Ctrl_F06,F06,VcCD00060986.fasta
ASU-Ctrl_G06,G06,YpCD00013559.fasta
ASU-Ctrl_H06,H06,YpCD00016351.fasta
ASU-Ctrl_A07,A07,PaCD00007011.fasta
ASU-Ctrl_B07,B07,PaCD00008367.fasta
ASU-Ctrl_C07,C07,BaCD00067550.fasta
ASU-Ctrl_D07,D07,ScCD00013263.fasta
ASU-Ctrl_E07,E07,ScCD00025173.fasta
ASU-Ctrl_F07,F07,VcCD00061277.fasta
ASU-Ctrl_G07,G07,YpCD00013604.fasta
ASU-Ctrl_H07,H07,YpCD00016721.fasta
ASU-Ctrl_A08,A08,PaCD00007011.fasta
ASU-Ctrl_B08,B08,PaCD00008367.fasta
ASU-Ctrl_C08,C08,BaCD00067550.fasta
ASU-Ctrl_D08,D08,ScCD00013263.fasta
ASU-Ctrl_E08,E08,ScCD00025173.fasta
ASU-Ctrl_F08,F08,VcCD00061277.fasta
ASU-Ctrl_G08,G08,YpCD00013604.fasta
ASU-Ctrl_H08,H08,YpCD00016721.fasta
ASU-Ctrl_A09,A09,PaCD00007011.fasta
ASU-Ctrl_B09,B09,PaCD00008367.fasta
ASU-Ctrl_C09,C09,BaCD00067550.fasta
ASU-Ctrl_D09,D09,ScCD00013263.fasta
ASU-Ctrl_E09,E09,ScCD00025173.fasta
ASU-Ctrl_F09,F09,VcCD00061277.fasta
ASU-Ctrl_G09,G09,YpCD00013604.fasta
ASU-Ctrl_H09,H09,YpCD00016721.fasta
ASU-Ctrl_A10,A10,PaCD00007179.fasta
ASU-Ctrl_B10,B10,BaCD00064849.fasta
ASU-Ctrl_C10,C10,BaCD00068152.fasta
ASU-Ctrl_D10,D10,ScCD00013266.fasta
ASU-Ctrl_E10,E10,ScCD00067860.fasta
ASU-Ctrl_F10,F10,VcCD00061278.fasta
ASU-Ctrl_G10,G10,YpCD00013828.fasta
ASU-Ctrl_H10,H10,YpCD00017101.fasta
ASU-Ctrl_A11,A11,PaCD00007179.fasta
ASU-Ctrl_B11,B11,BaCD00064849.fasta
ASU-Ctrl_C11,C11,BaCD00068152.fasta
ASU-Ctrl_D11,D11,ScCD00013266.fasta
ASU-Ctrl_E11,E11,ScCD00067860.fasta
ASU-Ctrl_F11,F11,VcCD00061278.fasta
ASU-Ctrl_G11,G11,YpCD00013828.fasta
ASU-Ctrl_H11,H11,YpCD00017101.fasta
ASU-Ctrl_A12,A12,PaCD00007179.fasta
ASU-Ctrl_B12,B12,BaCD00064849.fasta
ASU-Ctrl_C12,C12,BaCD00068152.fasta
ASU-Ctrl_D12,D12,ScCD00013266.fasta
ASU-Ctrl_E12,E12,ScCD00067860.fasta
ASU-Ctrl_F12,F12,VcCD00061278.fasta
ASU-Ctrl_G12,G12,YpCD00013828.fasta
ASU-Ctrl_H12,H12,YpCD00017101.fasta
